Itération,Sync Timestamp,EstimatedX,EstimatedY,Orientation (en degrés),?distance,Rssi Set,,,,,,Timestamp,True Position index,Sync Timestamp,TrueX,TrueY,ErrorX,ErrorY
45,08-avril-2016 11:25:52.963 ,"8,388301","16,327965",173,"0,69298", {Ml1B:-67,56WR:-84,tBfJ:-79,z6SH:-76,IKAo:-84,T0Fy:-87} , 08-avril-2016 11:25:52.300,18,08-avril-2016 11:25:52.963,"8,86","16,5","0,471699","0,172035"
46,08-avril-2016 11:25:52.963 ,"7,590769","16,42755",175,"0,829187", {Ml1B:-65,56WR:-87,tBfJ:-76,z6SH:-78,IKAo:-84,T0Fy:-84} , 08-avril-2016 11:25:53.305,,,,,,
47,08-avril-2016 11:25:52.963 ,"7,039675","16,435235",180,"0,794276", {Ml1B:-64,56WR:-86,tBfJ:-80,z6SH:-82,IKAo:-83,T0Fy:-84} , 08-avril-2016 11:25:54.312,,,,,,
48,08-avril-2016 11:25:56.297 ,"6,142609","16,459368",181,"0,940369", {Ml1B:-65,56WR:-85,tBfJ:-77,z6SH:-81,IKAo:-84,T0Fy:-86} , 08-avril-2016 11:25:55.326,19,08-avril-2016 11:25:56.297,"6,86","16,5","0,717391","0,040632"
49,08-avril-2016 11:25:56.297 ,"5,156207","16,469742",181,"1,007586", {Ml1B:-65,56WR:-87,tBfJ:-75,z6SH:-82,T0Fy:-87,IKAo:-89} , 08-avril-2016 11:25:56.369,,,,,,
50,08-avril-2016 11:25:56.297 ,"4,680924","16,46441",180,"0,583558", {Ml1B:-67,56WR:-87,tBfJ:-71,z6SH:-77,IKAo:-85,T0Fy:-88} , 08-avril-2016 11:25:57.379,,,,,,
51,08-avril-2016 11:25:58.497 ,"3,850214","16,464807",177,"0,869253", {Ml1B:-69,56WR:-86,tBfJ:-70,z6SH:-80,IKAo:-83,T0Fy:-89} , 08-avril-2016 11:25:58.431,20,08-avril-2016 11:25:58.497,"4,86","16,5","1,009786","0,035193"
52,08-avril-2016 11:25:58.497 ,"3,127465","16,392142",177,"0,658453", {Ml1B:-72,56WR:-86,tBfJ:-64,z6SH:-81,IKAo:-82,T0Fy:-87} , 08-avril-2016 11:25:59.453,,,,,,
53,08-avril-2016 11:26:00.696 ,"2,297474","16,008534",192,"0,966762", {Ml1B:-75,56WR:-87,tBfJ:-64,z6SH:-83,IKAo:-81,T0Fy:-83} , 08-avril-2016 11:26:00.464,21,08-avril-2016 11:26:00.696,"2,86","16,5","0,562526","0,491466"
54,08-avril-2016 11:26:00.696 ,"2,466329","15,428614",-100,"0,82755", {Ml1B:-73,56WR:-86,tBfJ:-66,z6SH:-85,T0Fy:-82,IKAo:-84} , 08-avril-2016 11:26:01.534,,,,,,
