17.150000 ; 15.620000 ; S ; {Ml1B:-66;56WR:-72;tBfJ:-75;z6SH:-72;T0Fy:-87;IKAo:-90} 
17.150000 ; 15.620000 ; W ; {Ml1B:-62;56WR:-75;tBfJ:-82;z6SH:-67;T0Fy:-84;IKAo:-88} 
17.150000 ; 15.620000 ; NW ; {Ml1B:-60;56WR:-68;tBfJ:-82;z6SH:-70;T0Fy:-82;IKAo:-84} 
17.150000 ; 15.620000 ; N ; {Ml1B:-69;56WR:-68;tBfJ:-82;z6SH:-69;T0Fy:-88;IKAo:-89} 
17.150000 ; 15.620000 ; NE ; {Ml1B:-62;56WR:-74;tBfJ:-81;z6SH:-69;T0Fy:-85;IKAo:-89} 
17.150000 ; 15.620000 ; E ; {Ml1B:-61;56WR:-73;z6SH:-65;IKAo:-81;T0Fy:-84} ;
17.150000 ; 15.620000 ; SE ; {Ml1B:-60;56WR:-73;tBfJ:-80;z6SH:-73;IKAo:-84;T0Fy:-90} 
20.330000 ; 13.600000 ; SW ; {Ml1B:-65;56WR:-62;tBfJ:-89;z6SH:-69;T0Fy:-82;IKAo:-84} 
20.330000 ; 13.600000 ; W ; {Ml1B:-76;56WR:-62;tBfJ:-91;z6SH:-77;T0Fy:-86} ;
20.330000 ; 13.600000 ; NW ; {Ml1B:-69;56WR:-59;z6SH:-78;T0Fy:-79;IKAo:-88} ;
20.330000 ; 13.600000 ; NE ; {Ml1B:-68;56WR:-63;tBfJ:-87;z6SH:-77;T0Fy:-80} ;
20.330000 ; 13.600000 ; E ; {Ml1B:-62;56WR:-63;tBfJ:-87;z6SH:-73;IKAo:-85;T0Fy:-88} 
20.330000 ; 13.600000 ; SE ; {Ml1B:-59;56WR:-65;tBfJ:-85;z6SH:-75;T0Fy:-79;IKAo:-82} 
20.330000 ; 13.600000 ; S ; {Ml1B:-77;56WR:-55;tBfJ:-86;z6SH:-77;T0Fy:-86;IKAo:-89} 
20.330000 ; 13.600000 ; N ; {Ml1B:-77;56WR:-54;tBfJ:-89;z6SH:-75;IKAo:-85;T0Fy:-85} 
20.300000 ; 10.500000 ; NW ; {Ml1B:-71;56WR:-74;tBfJ:-89;z6SH:-84;T0Fy:-82} ;
20.300000 ; 10.500000 ; W ; {Ml1B:-71;56WR:-66;tBfJ:-89;z6SH:-77;T0Fy:-83;IKAo:-91} 
20.300000 ; 10.500000 ; SW ; {Ml1B:-66;56WR:-74;z6SH:-77;T0Fy:-81;IKAo:-86} ;
20.300000 ; 10.500000 ; S ; {Ml1B:-65;56WR:-68;tBfJ:-89;z6SH:-75;T0Fy:-85;IKAo:-87} 
20.300000 ; 10.500000 ; SE ; {Ml1B:-57;56WR:-68;tBfJ:-85;z6SH:-71;T0Fy:-85;IKAo:-88} 
20.300000 ; 10.500000 ; E ; {Ml1B:-63;56WR:-62;tBfJ:-84;z6SH:-74;IKAo:-86;T0Fy:-86} 
20.300000 ; 10.500000 ; NE ; {Ml1B:-60;56WR:-75;tBfJ:-86;z6SH:-71;T0Fy:-75;IKAo:-87} 
20.300000 ; 10.500000 ; N ; {Ml1B:-66;56WR:-71;z6SH:-79;T0Fy:-83} ;;
21.400000 ; 7.380000 ; NW ; {Ml1B:-74;56WR:-82;z6SH:-79;T0Fy:-69;IKAo:-89} ;
